lhs,rhs,similarity
i4,i1,0.8574929257125442
i4,i2,0.7186994682200861
i4,i3,0.7155742058807849
i8,i4,0.0
i8,i5,NaN
i8,i1,0.0
i8,i6,0.0
i8,i2,0.0
i8,i7,NaN
i8,i3,NaN
i5,i4,0.9647638212377322
i5,i1,0.0
i5,i2,0.9647638212377322
i5,i3,0.8741572761215377
i6,i4,0.4079400621900509
i6,i5,0.0
i6,i1,0.8559155419457904
i6,i2,0.9653268646829789
i6,i3,0.8185874846865607
i9,i4,0.7194014606174091
i9,i8,0.0
i9,i5,0.0
i9,i1,0.7820595514434194
i9,i6,0.9575504083664604
i9,i2,0.9986982971885972
i9,i7,0.0
i9,i3,0.9847835588179369
i10,i4,0.0
i10,i8,NaN
i10,i5,0.0
i10,i1,0.5189781342417641
i10,i6,0.0
i10,i9,0.0
i10,i2,1.0000000000000002
i10,i7,0.8909061469019802
i10,i3,0.6121731929914169
i2,i1,0.7485822893557447
i7,i4,0.0
i7,i5,0.0
i7,i1,0.8505945695460383
i7,i6,0.9876651119799223
i7,i2,0.9144981513743389
i7,i3,0.9311619782693525
i3,i1,0.9936052547897188
i3,i2,0.7053456158585982
