lhs,rhs,similarity
i4,i4,1.0000000000000002
i4,i8,0.0
i4,i5,0.0
i4,i1,-0.28867513459481303
i4,i6,-0.9449111825230682
i4,i9,-0.6546536707079772
i4,i10,0.0
i4,i2,-0.40674460840998033
i4,i7,0.0
i4,i3,-0.3506671921848361
i8,i4,0.0
i8,i8,0.0
i8,i5,0.0
i8,i1,0.0
i8,i6,0.0
i8,i9,0.0
i8,i10,0.0
i8,i2,0.0
i8,i7,0.0
i8,i3,0.0
i5,i4,0.0
i5,i8,0.0
i5,i5,0.0
i5,i1,0.0
i5,i6,0.0
i5,i9,0.0
i5,i10,0.0
i5,i2,0.0
i5,i7,0.0
i5,i3,0.0
i1,i4,-0.28867513459481303
i1,i8,0.0
i1,i5,0.0
i1,i1,1.0000000000000002
i1,i6,5.814492627002974E-17
i1,i9,-0.44095855184409855
i1,i10,-0.8660254037844389
i1,i2,-0.4696682183138621
i1,i7,0.8333333333333337
i1,i3,0.5705628847200406
i6,i4,-0.9449111825230682
i6,i8,0.0
i6,i5,0.0
i6,i1,5.814492627002974E-17
i6,i6,1.0
i6,i9,0.8660254037844386
i6,i10,0.18898223650461363
i6,i2,0.4612050347010681
i6,i7,-0.21821789023599247
i6,i3,0.26507948099153394
i9,i4,-0.6546536707079772
i9,i8,0.0
i9,i5,0.0
i9,i1,-0.44095855184409855
i9,i6,0.8660254037844386
i9,i9,0.9999999999999998
i9,i10,0.43643578047198495
i9,i2,0.44379475156045417
i9,i7,-0.50395263067897
i9,i3,0.07652185485355396
i10,i4,0.0
i10,i8,0.0
i10,i5,0.0
i10,i1,-0.8660254037844389
i10,i6,0.18898223650461363
i10,i9,0.43643578047198495
i10,i10,1.0000000000000002
i10,i2,0.8134892168199607
i10,i7,-0.8660254037844387
i10,i3,-0.6375767130633384
i2,i4,-0.40674460840998033
i2,i8,0.0
i2,i5,0.0
i2,i1,-0.4696682183138621
i2,i6,0.4612050347010681
i2,i9,0.44379475156045417
i2,i10,0.8134892168199607
i2,i2,1.0
i2,i7,-0.7827803638564367
i2,i3,-0.6310385001832568
i7,i4,0.0
i7,i8,0.0
i7,i5,0.0
i7,i1,0.8333333333333337
i7,i6,-0.21821789023599247
i7,i9,-0.50395263067897
i7,i10,-0.8660254037844387
i7,i2,-0.7827803638564367
i7,i7,1.0000000000000002
i7,i3,0.8098311912155411
i3,i4,-0.3506671921848361
i3,i8,0.0
i3,i5,0.0
i3,i1,0.5705628847200406
i3,i6,0.26507948099153394
i3,i9,0.07652185485355396
i3,i10,-0.6375767130633384
i3,i2,-0.6310385001832568
i3,i7,0.8098311912155411
i3,i3,0.9999999999999999
